iter	Passed	Remaining
0	0	35
1	0	35
2	0	36
3	1	36
4	1	36
5	1	36
6	1	35
7	1	35
8	2	35
9	2	34
10	2	34
11	2	34
12	3	33
13	3	33
14	3	33
15	3	32
16	4	32
17	4	32
18	4	32
19	4	32
20	5	31
21	5	31
22	5	31
23	5	31
24	6	30
25	6	30
26	6	30
27	6	30
28	7	30
29	7	29
30	7	29
31	7	29
32	8	29
33	8	29
34	8	28
35	9	28
36	9	28
37	9	28
38	9	27
39	10	27
40	10	27
41	10	27
42	10	26
43	11	26
44	11	26
45	11	26
46	11	25
47	12	25
48	12	25
49	12	25
50	13	25
51	13	25
52	13	25
53	14	25
54	14	25
55	14	24
56	15	24
57	15	24
58	15	24
59	15	23
60	16	23
61	16	23
62	16	23
63	17	23
64	17	23
65	17	22
66	18	22
67	18	22
68	18	21
69	18	21
70	19	21
71	19	21
72	19	20
73	20	20
74	20	20
75	20	19
76	20	19
77	20	19
78	21	19
79	21	18
80	21	18
81	22	18
82	22	18
83	22	18
84	23	17
85	23	17
86	23	17
87	24	16
88	24	16
89	24	16
90	24	16
91	25	15
92	25	15
93	25	15
94	25	15
95	26	14
96	26	14
97	26	14
98	26	13
99	27	13
100	27	13
101	27	13
102	28	12
103	28	12
104	28	12
105	29	12
106	29	11
107	29	11
108	29	11
109	30	11
110	30	10
111	30	10
112	31	10
113	31	9
114	31	9
115	31	9
116	32	9
117	32	8
118	32	8
119	32	8
120	33	7
121	33	7
122	33	7
123	34	7
124	34	6
125	34	6
126	35	6
127	35	6
128	35	5
129	35	5
130	36	5
131	36	4
132	36	4
133	36	4
134	37	4
135	37	3
136	37	3
137	37	3
138	38	3
139	38	2
140	38	2
141	38	2
142	39	1
143	39	1
144	39	1
145	40	1
146	40	0
147	40	0
148	40	0
149	40	0
